iter	RMSE
0	1.64566458
1	1.499571952
2	1.367751113
3	1.249595293
4	1.142582799
5	1.046305028
6	0.9599325805
7	0.8817709022
8	0.8118285003
9	0.7495863969
10	0.6927775074
11	0.6426079026
12	0.5977007519
13	0.5572531967
14	0.5216573831
15	0.4901800949
16	0.4613862105
17	0.43551628
18	0.413135385
19	0.3926631305
20	0.3747027753
21	0.3580436357
22	0.3440147234
23	0.3319605713
24	0.3214468269
25	0.3100958712
26	0.3005600294
27	0.292536021
28	0.2857562888
29	0.2800574671
30	0.2733774029
31	0.2676616133
32	0.2636150766
33	0.2595918954
34	0.2563086002
35	0.2525404882
36	0.2501034769
37	0.2478720848
38	0.2458017775
39	0.2435721255
40	0.241292265
41	0.2398046989
42	0.23853133
43	0.2364505631
44	0.2341949744
45	0.2323933601
46	0.2313205639
47	0.2300184199
48	0.2292606973
49	0.2277035436
50	0.2269541999
51	0.2262785793
52	0.2253745538
53	0.2239749145
54	0.2223489637
55	0.2216932453
56	0.2211988495
57	0.2207177224
58	0.2200135216
59	0.2195946677
60	0.2186874678
61	0.2177532662
62	0.217424684
63	0.2166780377
64	0.2162457312
65	0.2159751527
66	0.2155262932
67	0.2149380641
68	0.2147207974
69	0.2142966019
70	0.2140264471
71	0.2137154944
72	0.2135472842
73	0.2133154823
74	0.2129776311
75	0.212843054
76	0.2122995169
77	0.2115526494
78	0.2113816992
79	0.2110802875
80	0.2101201269
81	0.2099433947
82	0.2092012529
83	0.2090818371
84	0.208339683
85	0.2079911196
86	0.2078181011
87	0.2072701207
88	0.2071637474
89	0.2068139629
90	0.2065303246
91	0.2063971941
92	0.2062550003
93	0.2059083874
94	0.2056746629
95	0.2054139305
96	0.205239604
97	0.2050010456
98	0.2049271759
99	0.2048083747
100	0.2044076427
101	0.2041224458
102	0.2037946339
103	0.2035615608
104	0.203468682
105	0.2032239178
106	0.2031274982
107	0.2026756139
108	0.2024932116
109	0.2024229212
110	0.202263313
111	0.2022042873
112	0.2019242974
113	0.201712698
114	0.2015199807
115	0.2012917181
116	0.201027273
117	0.2005607004
118	0.2003788193
119	0.2001424578
120	0.200081309
121	0.2000342268
122	0.1999050203
