iter	Passed	Remaining
0	237	2375950
1	416	2080752
2	624	2082399
3	818	2044687
4	1009	2018696
5	1191	1985140
6	1370	1957085
7	1555	1942898
8	1737	1928329
9	1920	1918089
10	2100	1907545
11	2279	1897234
12	2467	1895454
13	2651	1891266
14	2832	1885820
15	3020	1884578
16	3207	1883396
17	3391	1880505
18	3573	1877456
19	3754	1873432
20	3942	1873245
21	4126	1871492
22	4315	1872131
23	4495	1868508
24	4677	1866351
25	4858	1863807
26	5043	1862980
27	5222	1860028
28	5406	1858805
29	5594	1859220
30	5776	1857697
31	5964	1857920
32	6144	1855775
33	6328	1855049
34	6514	1854838
35	6696	1853442
36	6879	1852328
37	7056	1849849
38	7239	1849072
39	7422	1848213
40	7604	1847044
41	7780	1844625
42	7959	1843081
43	8148	1843781
44	8333	1843541
45	8519	1843625
46	8700	1842574
47	8886	1842415
48	9073	1842693
49	9257	1842150
50	9440	1841703
51	9625	1841377
52	9805	1840373
53	9988	1839658
54	10171	1839185
55	10354	1838609
56	10533	1837533
57	10713	1836469
58	10895	1835762
59	11077	1835091
60	11261	1834960
61	11444	1834392
62	11630	1834460
63	11813	1833979
64	11994	1833249
65	12179	1833201
66	12358	1832120
67	12545	1832316
68	12727	1831825
69	12913	1831901
70	13100	1832015
71	13282	1831488
72	13468	1831558
73	13648	1830773
74	13835	1830887
75	14016	1830272
76	14201	1830149
77	14387	1830209
78	14577	1830710
79	14762	1830554
80	14947	1830390
81	15130	1830050
82	15314	1829818
83	15499	1829696
84	15679	1828944
85	15866	1829068
86	16055	1829456
87	16240	1829303
88	16427	1829303
89	16610	1828953
90	16800	1829415
91	16990	1829756
92	17178	1830021
93	17360	1829457
94	17544	1829259
95	17729	1829106
96	17914	1828977
97	18098	1828735
98	18284	1828586
99	18470	1828540
100	18655	1828423
101	18843	1828553
102	19025	1828112
103	19216	1828533
104	19402	1828447
105	19592	1828715
106	19779	1828775
107	19966	1828795
108	20150	1828518
109	20334	1828289
110	20527	1828817
111	20713	1828749
112	20910	1829603
113	21092	1829108
114	21282	1829357
115	21461	1828647
116	21650	1828845
117	21837	1828767
118	22018	1828243
119	22203	1828070
120	22383	1827467
121	22571	1827535
122	22762	1827863
123	22952	1828090
124	23138	1827933
125	23326	1827964
126	23508	1827531
127	23701	1827999
128	23889	1827988
129	24077	1828035
130	24260	1827691
131	24441	1827204
132	24630	1827314
133	24815	1827110
134	25001	1826927
135	25193	1827304
136	25384	1827502
137	25567	1827172
138	25756	1827213
139	25945	1827301
140	26133	1827302
141	26320	1827218
142	26510	1827400
143	26691	1826894
144	26873	1826471
145	27057	1826208
146	27246	1826286
147	27440	1826678
148	27634	1827037
149	27824	1827170
150	28007	1826809
151	28197	1826876
152	28380	1826545
153	28573	1826838
154	28758	1826601
155	28945	1826534
156	29131	1826407
157	29319	1826337
158	29507	1826305
159	29692	1826117
160	29885	1826377
161	30070	1826105
162	30258	1826095
163	30442	1825835
164	30634	1826011
165	30818	1825746
166	31009	1825870
167	31192	1825514
168	31377	1825252
169	31561	1824968
170	31743	1824582
171	31929	1824441
172	32117	1824383
173	32306	1824380
174	32493	1824252
175	32684	1824411
176	32873	1824380
177	33062	1824371
178	33249	1824249
179	33441	1824394
180	33624	1824107
181	33810	1823892
182	33996	1823760
183	34182	1823566
184	34365	1823239
185	34550	1823016
186	34740	1823018
187	34927	1822892
188	35118	1822977
189	35303	1822780
190	35492	1822777
191	35675	1822412
192	35868	1822620
193	36051	1822288
194	36238	1822136
195	36425	1822022
196	36611	1821826
197	36793	1821447
198	36981	1821362
199	37172	1821468
200	37362	1821487
201	37554	1821556
202	37739	1821359
203	37931	1821443
204	38118	1821300
205	38310	1821435
206	38498	1821309
207	38683	1821115
208	38869	1820905
209	39054	1820692
210	39242	1820587
211	39431	1820535
212	39627	1820837
213	39816	1820790
214	40012	1821029
215	40198	1820848
216	40388	1820824
217	40588	1821247
218	40782	1821430
219	40970	1821321
220	41156	1821120
221	41344	1821008
222	41530	1820825
223	41714	1820539
224	41899	1820302
225	42088	1820251
226	42277	1820158
227	42466	1820082
228	42657	1820096
229	42848	1820145
230	43036	1819997
231	43230	1820152
232	43413	1819846
233	43601	1819704
234	43784	1819394
235	43974	1819338
236	44165	1819345
237	44356	1819376
238	44560	1819875
239	44747	1819740
240	44948	1820141
241	45146	1820407
242	45335	1820315
243	45523	1820180
244	45716	1820270
245	45908	1820278
246	46102	1820386
247	46290	1820252
248	46484	1820376
249	46669	1820122
250	46859	1820040
251	47069	1820758
252	47265	1820936
253	47458	1820984
254	47657	1821282
255	47855	1821487
256	48050	1821625
257	48247	1821819
258	48459	1822554
259	48662	1822958
260	48850	1822806
261	49043	1822831
262	49257	1823634
263	49447	1823564
